date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:26	161/161	---M-Z	200	added ('OK')	text/plain	etag:%22e056152814c5ce1:0%22	http://club.lagaceta.com/robots.txt		(from )
20:41:30	111134/111134	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202015%2001:41:39%20GMT	http://club.lagaceta.com/	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/index.html	(from )
20:41:30	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22d0d4a77b52c4ce1:0%22	http://club.lagaceta.com/img/Common/favicon.ico	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/img/Common/favicon.ico	(from http://club.lagaceta.com/)
20:41:31	520/520	---M--	200	added ('OK')	image/png	etag:%22402bdc7b52c4ce1:0%22	http://club.lagaceta.com/img/Common/favicon.png	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/img/Common/favicon.png	(from http://club.lagaceta.com/)
20:41:33	84245/84245	---M-Z	200	added ('OK')	application/x-javascript	etag:%2250a5fc12d94d01:0%22	http://club.lagaceta.com/scripts/jquery-2.1.1.min.js	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/scripts/jquery-2.1.1.min.js	(from http://club.lagaceta.com/)
20:41:34	10220/10220	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280d1ae3053c4ce1:0%22	http://club.lagaceta.com/scripts/swfobject/swfobject.js	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/scripts/swfobject/swfobject.js	(from http://club.lagaceta.com/)
20:41:34	1796/1796	---M-Z	200	added ('OK')	application/x-javascript	etag:%2220c03a81cc47d01:0%22	http://club.lagaceta.com/scripts/jquery-ui-tabs-rotate.js	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/scripts/jquery-ui-tabs-rotate.js	(from http://club.lagaceta.com/)
20:41:35	696/696	---M-Z	200	added ('OK')	text/css	etag:%2280b614efd347d01:0%22	http://club.lagaceta.com/css/bjqs.css	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/css/bjqs.css	(from http://club.lagaceta.com/)
20:41:35	6976/6976	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a0f769fd047d01:0%22	http://club.lagaceta.com/scripts/bjqs/bjqs-1.3.min.js	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/scripts/bjqs/bjqs-1.3.min.js	(from http://club.lagaceta.com/)
20:41:35	2383/2383	---M-Z	200	added ('OK')	application/x-javascript	etag:%2240f044e2d447d01:0%22	http://club.lagaceta.com/scripts/jcarousellite-master/jquery.jcarousellite-1.0.1.min.js	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/scripts/jcarousellite-master/jquery.jcarousellite-1.0.1.min.js	(from http://club.lagaceta.com/)
20:41:36	3708/3708	---M-Z	200	added ('OK')	text/css	etag:%22a871acef4771d01:0%22	http://club.lagaceta.com/css/style.css	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/css/style.css	(from http://club.lagaceta.com/)
20:41:37	3398/3398	---M-Z	200	added ('OK')	text/css	etag:%2280d74defd347d01:0%22	http://club.lagaceta.com/css/Inputs.css	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/css/Inputs.css	(from http://club.lagaceta.com/)
20:41:37	42920/42920	---M-Z	200	added ('OK')	text/css	etag:%227016f1ac4cdfd01:0%22	http://club.lagaceta.com/css/estilo.css	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/css/estilo.css	(from http://club.lagaceta.com/)
20:41:37	4595/4595	---M-Z	200	added ('OK')	text/css	etag:%22884da5ef4771d01:0%22	http://club.lagaceta.com/css/slidergeneral.css	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/css/slidergeneral.css	(from http://club.lagaceta.com/)
20:41:39	93215/93215	---M-Z	200	added ('OK')	application/x-javascript	etag:%22289f9134771d01:0%22	http://club.lagaceta.com/Scripts/slider-master/js/jssor.js	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/Scripts/slider-master/js/jssor.js	(from http://club.lagaceta.com/)
20:41:40	159768/159768	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a89915144771d01:0%22	http://club.lagaceta.com/Scripts/slider-master/js/jssor.slider.js	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/Scripts/slider-master/js/jssor.slider.js	(from http://club.lagaceta.com/)
20:41:41	173062/173062	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bf9cbc2ff6e374df18125053e6a8f7bd%22	http://connect.facebook.net/es_LA/all.js	C:/My%20Web%20Sites/La%20gaceta/connect.facebook.net/es_LA/all.js	(from http://club.lagaceta.com/)
20:41:42	22346/22346	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2004%20Feb%202015%2015:13:22%20GMT	http://club.lagaceta.com/WebResource.axd?d=vyQi9383ljiGVy7NdquUy0M-L-qM44e5LysUw9WhR-bSps47AY7AS5arSFC7kUCCIWxn3e-FmDl4joQT1brcW0TIfeMFdyysKOeYtX_it6g1&t=635586488020000000	C:/My%20Web%20Sites/La%20gaceta/club.lagaceta.com/WebResource1a77.js	(from http://club.lagaceta.com/)
